chapter	author	probability
2 John1	John	0.9315777719020844
3 John1	Paul	0.9623061286078559
Ephesians1	Paul	0.9978419134491369
Ephesians2	Paul	0.968585193157196
Ephesians3	Paul	0.9904269513330961
Ephesians4	Paul	0.9393007910769918
Ephesians5	Paul	0.9698381711696756
Ephesians6	Paul	0.9930923810371985
Colossians1	Paul	0.9506009643276533
Colossians2	Paul	0.9622959554195404
Colossians3	Paul	0.9580910007158915
Colossians4	Paul	0.9563449365752084
2 Thessalonians1	Paul	0.926452333276922
2 Thessalonians2	Paul	0.9297935920102256
2 Thessalonians3	Paul	0.9724822362263997
1 Timothy1	Paul	0.9198272792916549
1 Timothy2	Paul	0.9924181878566742
1 Timothy3	Paul	0.9770016322533289
1 Timothy4	Paul	0.9987303495407105
1 Timothy5	Paul	0.9658780505782679
1 Timothy6	Paul	0.9564796371592416
2 Timothy1	Paul	0.9650059001786369
2 Timothy2	Paul	0.9607939939749869
2 Timothy3	Paul	0.9902834512970664
2 Timothy4	Paul	0.9362207986414433
Titus1	Paul	0.9428831815719605
Titus2	Paul	0.9389285720311679
Titus3	Paul	0.9749128073453903
Hebrews1	Luke	0.9887707307934761
Hebrews2	Paul	0.9648221220288958
Hebrews3	Paul	0.9476660241683325
Hebrews4	Paul	0.9666908545927568
Hebrews5	Paul	0.9062141709857516
Hebrews6	Paul	0.9532618969678879
Hebrews7	Paul	0.9916121583235892
Hebrews8	Paul	0.9557886990633878
Hebrews9	Paul	0.9581768475472927
Hebrews10	Paul	0.9735737528119769
Hebrews11	Luke	0.9790348410606384
Hebrews12	Paul	0.9848792217671871
Hebrews13	Paul	0.9388335806628069
2 Peter1	Paul	0.9851990262667338
2 Peter2	Paul	0.9556115498909583
2 Peter3	Paul	0.9201362192630768
